Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip
heymin,0,0,0,0,0.1,Pos(x:-0.4775424|y:1.00029|z:1.292394)|Rot(x:315.6272|y:222.8724|z:1.592804),Pos(x:-0.455763|y:1.031666|z:1.31406)|Rot(x:321.5524|y:223.6845|z:10.15049),Pos(x:-0.4287871|y:1.069464|z:1.329793)|Rot(x:334.1759|y:228.8173|z:27.9422),Pos(x:-0.4117393|y:1.092127|z:1.326964)|Rot(x:334.1759|y:228.8173|z:27.94216),Pos(x:-0.4792053|y:1.074139|z:1.295477)|Rot(x:29.31481|y:82.52661|z:1.218703),Pos(x:-0.4566066|y:1.114962|z:1.299446)|Rot(x:59.43525|y:83.72968|z:2.090019),Pos(x:-0.4345089|y:1.128152|z:1.302827)|Rot(x:86.40958|y:99.12415|z:17.22606),Pos(x:-0.4079272|y:1.129761|z:1.306626)|Rot(x:86.40981|y:99.12382|z:17.22579),Pos(x:-0.4754308|y:1.075329|z:1.268332)|Rot(x:32.55654|y:77.66551|z:1.367143),Pos(x:-0.4479476|y:1.119824|z:1.275631)|Rot(x:68.35771|y:79.8354|z:3.125639),Pos(x:-0.4228909|y:1.130032|z:1.281659)|Rot(x:79.31081|y:250.8128|z:173.7759),Pos(x:-0.3957732|y:1.124813|z:1.287847)|Rot(x:79.31086|y:250.8124|z:173.7755),Pos(x:-0.4683517|y:1.071619|z:1.245088)|Rot(x:33.51979|y:74.72575|z:1.441712),Pos(x:-0.4438772|y:1.110403|z:1.252985)|Rot(x:70.31535|y:77.29155|z:3.570197),Pos(x:-0.420088|y:1.11926|z:1.260032)|Rot(x:71.79143|y:297.4025|z:221.7189),Pos(x:-0.3959453|y:1.113243|z:1.266855)|Rot(x:71.7914|y:297.4025|z:221.7189),Pos(x:-0.4606965|y:1.063388|z:1.225745)|Rot(x:33.56183|y:72.74759|z:357.6999),Pos(x:-0.4394116|y:1.096241|z:1.230697)|Rot(x:70.35591|y:75.38668|z:359.8904),Pos(x:-0.4226468|y:1.102422|z:1.235032)|Rot(x:75.19578|y:230.6088|z:155.241),Pos(x:-0.4045168|y:1.097967|z:1.239515)|Rot(x:75.19572|y:230.6089|z:155.2411)
heymin,0.1,0.1,0.1,0.1,0.1,Pos(x:-0.4775424|y:1.00029|z:1.292394)|Rot(x:323.3347|y:220.8633|z:5.80455),Pos(x:-0.4571164|y:1.035332|z:1.309217)|Rot(x:332.7542|y:223.3294|z:19.2746),Pos(x:-0.4308041|y:1.076479|z:1.313524)|Rot(x:350.6119|y:235.9382|z:48.82256),Pos(x:-0.4162539|y:1.094992|z:1.297467)|Rot(x:350.6119|y:235.9382|z:48.82253),Pos(x:-0.4792053|y:1.074139|z:1.295477)|Rot(x:42.17303|y:82.89261|z:1.433857),Pos(x:-0.4481615|y:1.108834|z:1.300529)|Rot(x:82.93548|y:253.3222|z:171.3275),Pos(x:-0.4226451|y:1.105678|z:1.304088)|Rot(x:33.68647|y:261.2215|z:178.7229),Pos(x:-0.407812|y:1.083301|z:1.305772)|Rot(x:33.68643|y:261.2215|z:178.7229),Pos(x:-0.4754308|y:1.075329|z:1.268332)|Rot(x:41.65847|y:77.95505|z:1.542361),Pos(x:-0.4414134|y:1.114766|z:1.277044)|Rot(x:83.78842|y:246.2802|z:169.2891),Pos(x:-0.4145517|y:1.111819|z:1.283219)|Rot(x:34.89577|y:256.1259|z:178.5951),Pos(x:-0.3986723|y:1.088615|z:1.286427)|Rot(x:34.89581|y:256.1258|z:178.595),Pos(x:-0.4683517|y:1.071619|z:1.245088)|Rot(x:39.3848|y:74.91642|z:1.555138),Pos(x:-0.4401797|y:1.107573|z:1.253989)|Rot(x:88.78921|y:170.9766|z:97.04552),Pos(x:-0.4148645|y:1.107505|z:1.26128)|Rot(x:43.00927|y:271.4885|z:191.2962),Pos(x:-0.3974814|y:1.089004|z:1.265884)|Rot(x:43.00927|y:271.4885|z:191.2962),Pos(x:-0.4606965|y:1.063388|z:1.225745)|Rot(x:39.42675|y:72.94341|z:357.8165),Pos(x:-0.4363161|y:1.093844|z:1.231653)|Rot(x:88.75228|y:170.7378|z:95.02637),Pos(x:-0.4184986|y:1.093809|z:1.23619)|Rot(x:43.57875|y:245.0373|z:170.5544),Pos(x:-0.4053324|y:1.080089|z:1.238844)|Rot(x:43.57872|y:245.0374|z:170.5545)
heymin,0.1,0.1,0.1,0.1,0.1,Pos(x:-0.4775424|y:1.00029|z:1.292394)|Rot(x:309.1047|y:230.9689|z:19.47748),Pos(x:-0.4433672|y:1.026402|z:1.301251)|Rot(x:325.361|y:243.4771|z:39.80381),Pos(x:-0.4101943|y:1.057392|z:1.282727)|Rot(x:343.4309|y:283.498|z:89.08529),Pos(x:-0.4167195|y:1.057828|z:1.254988)|Rot(x:343.4309|y:283.498|z:89.08527),Pos(x:-0.4792053|y:1.074139|z:1.295477)|Rot(x:66.04884|y:84.32298|z:2.618302),Pos(x:-0.436874|y:1.09313|z:1.301835)|Rot(x:21.03045|y:261.5212|z:178.8615),Pos(x:-0.4275869|y:1.068907|z:1.302698)|Rot(x:297.448|y:263.9764|z:177.6942),Pos(x:-0.4511942|y:1.056518|z:1.299119)|Rot(x:297.4479|y:263.9765|z:177.694),Pos(x:-0.4754308|y:1.075329|z:1.268332)|Rot(x:66.91651|y:79.63471|z:2.940025),Pos(x:-0.4281964|y:1.096005|z:1.279725)|Rot(x:16.05204|y:256.5981|z:178.8009),Pos(x:-0.4206075|y:1.069372|z:1.280937)|Rot(x:288.7886|y:260.3192|z:176.4202),Pos(x:-0.4466693|y:1.060275|z:1.274699)|Rot(x:288.7887|y:260.319|z:176.4204),Pos(x:-0.4683517|y:1.071619|z:1.245088)|Rot(x:66.58938|y:76.70702|z:3.026235),Pos(x:-0.4274132|y:1.090083|z:1.257285)|Rot(x:16.94158|y:253.5633|z:178.7435),Pos(x:-0.4198886|y:1.064888|z:1.258902)|Rot(x:294.853|y:291.1035|z:145.0401),Pos(x:-0.4431109|y:1.056001|z:1.252018)|Rot(x:294.853|y:291.1035|z:145.0402),Pos(x:-0.4606965|y:1.063388|z:1.225745)|Rot(x:66.63026|y:74.7848|z:359.3301),Pos(x:-0.4256269|y:1.079038|z:1.234805)|Rot(x:16.89887|y:251.5546|z:174.931),Pos(x:-0.4200628|y:1.061515|z:1.234949)|Rot(x:290.0239|y:243.2171|z:183.984),Pos(x:-0.436729|y:1.054956|z:1.22803)|Rot(x:290.0238|y:243.2172|z:183.9839)
heymin,0.1,0,0,0,0.1,Pos(x:-0.4775424|y:1.00029|z:1.292394)|Rot(x:319.3819|y:223.6573|z:9.925564),Pos(x:-0.452627|y:1.033123|z:1.307541)|Rot(x:328.124|y:226.7548|z:22.00576),Pos(x:-0.4225538|y:1.071726|z:1.310606)|Rot(x:344.738|y:239.4545|z:48.43699),Pos(x:-0.4074297|y:1.089967|z:1.29477)|Rot(x:344.738|y:239.4545|z:48.43696),Pos(x:-0.4792053|y:1.074139|z:1.295477)|Rot(x:36.12656|y:82.70559|z:1.315619),Pos(x:-0.4519631|y:1.111954|z:1.300048)|Rot(x:71.03925|y:85.02466|z:3.27199),Pos(x:-0.4276763|y:1.120374|z:1.30365)|Rot(x:77.44695|y:257.1516|z:175.1053),Pos(x:-0.4016597|y:1.114548|z:1.30723)|Rot(x:77.44692|y:257.1519|z:175.1055),Pos(x:-0.4754308|y:1.075329|z:1.268332)|Rot(x:35.01961|y:77.73727|z:1.407055),Pos(x:-0.4461038|y:1.118561|z:1.276033)|Rot(x:69.58379|y:80.02735|z:3.3048),Pos(x:-0.4208373|y:1.128214|z:1.282099)|Rot(x:79.19563|y:250.8797|z:173.8416),Pos(x:-0.3937297|y:1.12294|z:1.288283)|Rot(x:79.19573|y:250.8794|z:173.8413),Pos(x:-0.4683517|y:1.071619|z:1.245088)|Rot(x:31.66325|y:74.67088|z:1.41214),Pos(x:-0.445103|y:1.111216|z:1.25265)|Rot(x:63.034|y:76.29288|z:2.651276),Pos(x:-0.4226048|y:1.123149|z:1.259392)|Rot(x:77.5507|y:338.0226|z:263.9238),Pos(x:-0.3978161|y:1.122561|z:1.26652)|Rot(x:77.55074|y:338.0226|z:263.9239),Pos(x:-0.4606965|y:1.063388|z:1.225745)|Rot(x:31.70533|y:72.69124|z:357.6695),Pos(x:-0.4404377|y:1.096929|z:1.230378)|Rot(x:63.07518|y:74.35852|z:358.944),Pos(x:-0.4245629|y:1.105253|z:1.234471)|Rot(x:84.39378|y:178.7468|z:103.0687),Pos(x:-0.4059592|y:1.104829|z:1.239199)|Rot(x:84.39381|y:178.7473|z:103.0692)
heymin,0.1,0,0,0,0,Pos(x:-0.4775424|y:1.00029|z:1.292394)|Rot(x:321.5718|y:223.3907|z:11.61177),Pos(x:-0.4527543|y:1.033986|z:1.305749)|Rot(x:328.0346|y:225.6706|z:20.57076),Pos(x:-0.4233322|y:1.072929|z:1.310408)|Rot(x:341.0453|y:234.0791|z:40.15468),Pos(x:-0.4068203|y:1.093531|z:1.299675)|Rot(x:341.0452|y:234.0791|z:40.15469),Pos(x:-0.4792053|y:1.074139|z:1.295477)|Rot(x:28.58233|y:82.50887|z:1.21011),Pos(x:-0.4571261|y:1.115252|z:1.299378)|Rot(x:35.81742|y:82.69685|z:1.31049),Pos(x:-0.4421392|y:1.136294|z:1.301897)|Rot(x:42.32872|y:82.89789|z:1.437413),Pos(x:-0.4242533|y:1.156175|z:1.304806)|Rot(x:42.32875|y:82.89783|z:1.437383),Pos(x:-0.4754308|y:1.075329|z:1.268332)|Rot(x:26.66594|y:77.50848|z:1.289446),Pos(x:-0.4525563|y:1.122506|z:1.274617)|Rot(x:47.72169|y:78.1973|z:1.712982),Pos(x:-0.432659|y:1.141145|z:1.279621)|Rot(x:66.66396|y:79.60201|z:2.909956),Pos(x:-0.407393|y:1.152341|z:1.285718)|Rot(x:66.66393|y:79.60216|z:2.910105),Pos(x:-0.4683517|y:1.071619|z:1.245088)|Rot(x:25.65651|y:74.5069|z:1.333398),Pos(x:-0.4492293|y:1.113555|z:1.251512)|Rot(x:46.18528|y:75.18246|z:1.73617),Pos(x:-0.4310644|y:1.131786|z:1.257143)|Rot(x:62.05363|y:46.43114|z:335.8321),Pos(x:-0.4087182|y:1.142817|z:1.263821)|Rot(x:62.05363|y:46.43114|z:335.8321),Pos(x:-0.4606965|y:1.063388|z:1.225745)|Rot(x:25.69868|y:72.52285|z:357.5885),Pos(x:-0.4438919|y:1.098911|z:1.229296)|Rot(x:46.22708|y:73.21679|z:358.0026),Pos(x:-0.4310037|y:1.111623|z:1.232513)|Rot(x:64.44431|y:84.1766|z:7.813733),Pos(x:-0.4141964|y:1.119829|z:1.236851)|Rot(x:64.44437|y:84.17654|z:7.813669)
heymin,0.1,0,0.1,0.1,0.1,Pos(x:-0.4775424|y:1.00029|z:1.292394)|Rot(x:311.1251|y:225.8704|z:5.459467),Pos(x:-0.4509994|y:1.02904|z:1.312322)|Rot(x:322.4969|y:229.5129|z:20.88066),Pos(x:-0.4184416|y:1.065382|z:1.317139)|Rot(x:343.2319|y:246.9987|z:53.62537),Pos(x:-0.4049864|y:1.081565|z:1.297922)|Rot(x:343.2319|y:246.9987|z:53.62534),Pos(x:-0.4792053|y:1.074139|z:1.295477)|Rot(x:41.99709|y:82.88669|z:1.429885),Pos(x:-0.4482674|y:1.108931|z:1.300516)|Rot(x:68.03539|y:259.2939|z:177.158),Pos(x:-0.4244046|y:1.099234|z:1.303718)|Rot(x:5.118165|y:261.8347|z:178.9331),Pos(x:-0.4219584|y:1.072446|z:1.303563)|Rot(x:5.118114|y:261.8347|z:178.9331),Pos(x:-0.4754308|y:1.075329|z:1.268332)|Rot(x:38.50865|y:77.84673|z:1.472606),Pos(x:-0.4435857|y:1.116636|z:1.276578)|Rot(x:77.64003|y:251.6632|z:174.6093),Pos(x:-0.4171778|y:1.110729|z:1.282587)|Rot(x:20.27854|y:256.5039|z:178.7716),Pos(x:-0.4075009|y:1.084189|z:1.284286)|Rot(x:20.27858|y:256.5039|z:178.7716),Pos(x:-0.4683517|y:1.071619|z:1.245088)|Rot(x:45.73623|y:75.16297|z:1.722163),Pos(x:-0.4365093|y:1.104084|z:1.25497)|Rot(x:62.22702|y:251.6463|z:177.42),Pos(x:-0.4140345|y:1.091821|z:1.261177)|Rot(x:357.8054|y:267.5739|z:178.2319),Pos(x:-0.4149874|y:1.066053|z:1.260339)|Rot(x:357.8054|y:267.5739|z:178.2319),Pos(x:-0.4606965|y:1.063388|z:1.225745)|Rot(x:45.77801|y:73.19673|z:357.9882),Pos(x:-0.4332432|y:1.09089|z:1.232589)|Rot(x:62.18329|y:249.591|z:173.5765),Pos(x:-0.4173808|y:1.082364|z:1.236296)|Rot(x:357.0541|y:247.8534|z:175.1851),Pos(x:-0.417684|y:1.063257|z:1.234432)|Rot(x:357.0541|y:247.8534|z:175.1851)
heymin,0.1,0.1,0.1,0.1,0.1,Pos(x:-0.4775424|y:1.00029|z:1.292394)|Rot(x:309.9323|y:227.5813|z:9.734684),Pos(x:-0.4480346|y:1.02807|z:1.309298)|Rot(x:321.4839|y:232.5849|z:24.79257),Pos(x:-0.413527|y:1.062897|z:1.30981)|Rot(x:341.8166|y:252.4769|z:57.53527),Pos(x:-0.4017345|y:1.077431|z:1.288317)|Rot(x:341.8166|y:252.4769|z:57.53525),Pos(x:-0.4792053|y:1.074139|z:1.295477)|Rot(x:61.2236|y:83.86523|z:2.207817),Pos(x:-0.438617|y:1.096665|z:1.301654)|Rot(x:31.64712|y:261.2748|z:178.7517),Pos(x:-0.4250733|y:1.074574|z:1.303161)|Rot(x:313.2689|y:263.0589|z:178.4496),Pos(x:-0.4444217|y:1.056143|z:1.300072)|Rot(x:313.2689|y:263.059|z:178.4495),Pos(x:-0.4754308|y:1.075329|z:1.268332)|Rot(x:63.26683|y:79.21841|z:2.562251),Pos(x:-0.4295902|y:1.099059|z:1.279465)|Rot(x:25.03071|y:256.3916|z:178.7283),Pos(x:-0.4180493|y:1.073949|z:1.281625)|Rot(x:302.5476|y:258.7357|z:177.8578),Pos(x:-0.4412221|y:1.058734|z:1.275931)|Rot(x:302.5477|y:258.7356|z:177.858),Pos(x:-0.4683517|y:1.071619|z:1.245088)|Rot(x:64.14957|y:76.41136|z:2.757409),Pos(x:-0.4282174|y:1.091886|z:1.257092)|Rot(x:22.93266|y:253.4209|z:178.6949),Pos(x:-0.4182104|y:1.06763|z:1.259445)|Rot(x:302.6238|y:281.8677|z:155.3231),Pos(x:-0.4397487|y:1.054991|z:1.252965)|Rot(x:302.6238|y:281.8677|z:155.3232),Pos(x:-0.4606965|y:1.063388|z:1.225745)|Rot(x:64.19063|y:74.48043|z:359.0533),Pos(x:-0.4263004|y:1.080564|z:1.23462)|Rot(x:22.8899|y:251.4085|z:174.8813),Pos(x:-0.4190261|y:1.063694|z:1.235336)|Rot(x:299.1332|y:245.6454|z:181.1051),Pos(x:-0.4344545|y:1.054348|z:1.228759)|Rot(x:299.1332|y:245.6454|z:181.105)
heymin,0,0,0,0,0,Pos(x:-0.4775424|y:1.00029|z:1.292394)|Rot(x:321.8265|y:219.3859|z:358.1743),Pos(x:-0.4614115|y:1.034793|z:1.314246)|Rot(x:330.9364|y:220.3253|z:11.65183),Pos(x:-0.4387666|y:1.076766|z:1.325623)|Rot(x:349.2961|y:229.748|z:40.16898),Pos(x:-0.4238008|y:1.098166|z:1.314206)|Rot(x:349.2961|y:229.748|z:40.16895),Pos(x:-0.4792053|y:1.074139|z:1.295477)|Rot(x:359.2304|y:81.91559|z:1.062727),Pos(x:-0.4799501|y:1.120956|z:1.296249)|Rot(x:13.89888|y:82.19283|z:1.094676),Pos(x:-0.4738415|y:1.146147|z:1.297587)|Rot(x:27.10023|y:82.47369|z:1.193691),Pos(x:-0.4617688|y:1.170089|z:1.299747)|Rot(x:27.10027|y:82.47365|z:1.193672),Pos(x:-0.4754308|y:1.075329|z:1.268332)|Rot(x:1.91829|y:76.96832|z:1.152931),Pos(x:-0.4739486|y:1.128094|z:1.269766)|Rot(x:6.334172|y:77.05764|z:1.159365),Pos(x:-0.4710943|y:1.155638|z:1.270997)|Rot(x:10.30844|y:77.13932|z:1.17119),Pos(x:-0.4662869|y:1.183476|z:1.272688)|Rot(x:10.3084|y:77.13939|z:1.171205),Pos(x:-0.4683517|y:1.071619|z:1.245088)|Rot(x:1.649726|y:73.96413|z:1.202412),Pos(x:-0.4673341|y:1.118125|z:1.246396)|Rot(x:5.535308|y:74.046|z:1.207544),Pos(x:-0.465044|y:1.144341|z:1.247629)|Rot(x:9.063368|y:60.3649|z:359.0436),Pos(x:-0.4612989|y:1.169815|z:1.249264)|Rot(x:9.063365|y:60.3649|z:359.0436),Pos(x:-0.4606965|y:1.063388|z:1.225745)|Rot(x:1.692185|y:71.96575|z:357.4536),Pos(x:-0.459047|y:1.102789|z:1.224439)|Rot(x:5.577733|y:72.04976|z:357.459),Pos(x:-0.4570974|y:1.12107|z:1.224213)|Rot(x:9.23362|y:76.31882|z:358.136),Pos(x:-0.4539578|y:1.140012|z:1.224335)|Rot(x:9.233666|y:76.31876|z:358.136)
heymin,0.1,0,0,0,0,Pos(x:-0.4775424|y:1.00029|z:1.292394)|Rot(x:331.5622|y:214.6621|z:355.9162),Pos(x:-0.4682521|y:1.038805|z:1.311328)|Rot(x:341.9148|y:215.3945|z:11.53116),Pos(x:-0.4516245|y:1.084472|z:1.317808)|Rot(x:2.15781|y:226.5543|z:46.13999),Pos(x:-0.4380331|y:1.104206|z:1.302378)|Rot(x:2.157788|y:226.5543|z:46.13998),Pos(x:-0.4792053|y:1.074139|z:1.295477)|Rot(x:1.405958|y:81.95593|z:1.062945),Pos(x:-0.4781893|y:1.120946|z:1.296498)|Rot(x:18.04773|y:82.27614|z:1.117612),Pos(x:-0.4702905|y:1.14562|z:1.29808)|Rot(x:33.0248|y:82.62065|z:1.267406),Pos(x:-0.4558313|y:1.168169|z:1.300553)|Rot(x:33.02485|y:82.62061|z:1.267388),Pos(x:-0.4754308|y:1.075329|z:1.268332)|Rot(x:6.223706|y:77.0554|z:1.15912),Pos(x:-0.470092|y:1.127812|z:1.270655)|Rot(x:17.98797|y:77.3039|z:1.211511),Pos(x:-0.4618717|y:1.154171|z:1.273108)|Rot(x:28.57551|y:77.55743|z:1.312142),Pos(x:-0.4487964|y:1.179017|z:1.276657)|Rot(x:28.57549|y:77.55749|z:1.312173),Pos(x:-0.4683517|y:1.071619|z:1.245088)|Rot(x:5.606501|y:74.0475|z:1.207698),Pos(x:-0.4642509|y:1.117922|z:1.24728)|Rot(x:16.14859|y:74.27756|z:1.251278),Pos(x:-0.4573555|y:1.143221|z:1.249819)|Rot(x:25.18103|y:59.46835|z:354.8504),Pos(x:-0.4467619|y:1.166475|z:1.253379)|Rot(x:25.18103|y:59.46836|z:354.8504),Pos(x:-0.4606965|y:1.063388|z:1.225745)|Rot(x:5.648931|y:72.05129|z:357.4591),Pos(x:-0.4564662|y:1.102615|z:1.225277)|Rot(x:16.19087|y:72.28741|z:357.504),Pos(x:-0.4513435|y:1.120255|z:1.226072)|Rot(x:25.78063|y:77.11918|z:359.5847),Pos(x:-0.4431722|y:1.137544|z:1.227798)|Rot(x:25.78066|y:77.11913|z:359.5847)
heymin,0,0,0,0,0,Pos(x:-0.4775424|y:1.00029|z:1.292394)|Rot(x:329.2304|y:215.6021|z:355.6799),Pos(x:-0.4671913|y:1.037913|z:1.312533)|Rot(x:339.7392|y:216.3327|z:11.50998),Pos(x:-0.4494526|y:1.082984|z:1.32014)|Rot(x:0.2720884|y:227.7304|z:46.23722),Pos(x:-0.4356774|y:1.102697|z:1.304845)|Rot(x:0.2720714|y:227.7304|z:46.23721),Pos(x:-0.4792053|y:1.074139|z:1.295477)|Rot(x:6.392691|y:82.04893|z:1.069275),Pos(x:-0.4741631|y:1.120669|z:1.297064)|Rot(x:35.46573|y:82.68696|z:1.304734),Pos(x:-0.4593046|y:1.141804|z:1.299567)|Rot(x:61.62556|y:83.89783|z:2.236427),Pos(x:-0.4359|y:1.154578|z:1.303125)|Rot(x:61.62561|y:83.89773|z:2.236341),Pos(x:-0.4754308|y:1.075329|z:1.268332)|Rot(x:13.47354|y:77.20583|z:1.184898),Pos(x:-0.4636772|y:1.12667|z:1.272121)|Rot(x:41.88327|y:77.96319|z:1.547793),Pos(x:-0.4457408|y:1.1473|z:1.276711)|Rot(x:67.44138|y:79.70499|z:3.004793),Pos(x:-0.4203273|y:1.158141|z:1.282835)|Rot(x:67.44135|y:79.70513|z:3.004931),Pos(x:-0.4683517|y:1.071619|z:1.245088)|Rot(x:14.9054|y:74.24948|z:1.243767),Pos(x:-0.4571078|y:1.116578|z:1.249309)|Rot(x:46.64273|y:75.20267|z:1.750801),Pos(x:-0.4388027|y:1.134657|z:1.254977)|Rot(x:70.84304|y:32.97374|z:320.9665),Pos(x:-0.4148684|y:1.141233|z:1.262015)|Rot(x:70.84304|y:32.97372|z:320.9665),Pos(x:-0.4606965|y:1.063388|z:1.225745)|Rot(x:14.94771|y:72.25858|z:357.4963),Pos(x:-0.450487|y:1.101474|z:1.227202)|Rot(x:46.68451|y:73.23753|z:358.0177),Pos(x:-0.4375021|y:1.114079|z:1.230449)|Rot(x:74.59015|y:92.3799|z:16.29253),Pos(x:-0.4195274|y:1.118976|z:1.235093)|Rot(x:74.5902|y:92.37978|z:16.29238)
