Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-26 오전 9:46:13
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:333.1903|y:226.2029|z:347.3921),Pos(x:-0.5747198|y:1.155274|z:1.373848)|Rot(x:337.3478|y:225.4584|z:354.1295),Pos(x:-0.564849|y:1.200284|z:1.390598)|Rot(x:346.8023|y:225.6899|z:8.542411),Pos(x:-0.5572873|y:1.227724|z:1.392063)|Rot(x:346.8023|y:225.6899|z:8.542391),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:358.2381|y:95.0015|z:359.7519),Pos(x:-0.5868191|y:1.237667|z:1.35537)|Rot(x:1.428419|y:94.98767|z:359.752),Pos(x:-0.5861843|y:1.263615|z:1.355202)|Rot(x:4.299719|y:94.97521|z:359.7513),Pos(x:-0.5841853|y:1.290439|z:1.35491)|Rot(x:4.299767|y:94.97516|z:359.7513),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.4781|y:90|z:0),Pos(x:-0.5901722|y:1.244174|z:1.328133)|Rot(x:357.9419|y:90|z:0),Pos(x:-0.5911677|y:1.271876|z:1.328133)|Rot(x:358.3592|y:90|z:0),Pos(x:-0.591978|y:1.300164|z:1.328133)|Rot(x:358.3592|y:90.00006|z:1.601482E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.7172|y:86.99776|z:0.1490164),Pos(x:-0.5879311|y:1.233778|z:1.303993)|Rot(x:358.5177|y:86.99984|z:0.1489443),Pos(x:-0.5886152|y:1.260113|z:1.304025)|Rot(x:359.2944|y:73.41696|z:0.3236742),Pos(x:-0.5889613|y:1.285911|z:1.304075)|Rot(x:359.2944|y:73.41696|z:0.3236797),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.7242|y:84.99629|z:356.468),Pos(x:-0.5840571|y:1.218093|z:1.281008)|Rot(x:358.5246|y:84.99976|z:356.468),Pos(x:-0.5844291|y:1.236438|z:1.279838)|Rot(x:359.502|y:89.1373|z:356.4227),Pos(x:-0.5845776|y:1.2556|z:1.278638)|Rot(x:359.502|y:89.13725|z:356.4227),No,,,,2024-08-26 오전 9:46:14
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:312.4936|y:219.2256|z:21.46295),Pos(x:-0.5505347|y:1.149607|z:1.366735)|Rot(x:320.1545|y:224.4275|z:30.91378),Pos(x:-0.5136797|y:1.181904|z:1.368349)|Rot(x:333.4248|y:237.9559|z:50.40084),Pos(x:-0.4951396|y:1.198151|z:1.354047)|Rot(x:333.4248|y:237.9559|z:50.40081),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:30.53316|y:94.84761|z:359.7121),Pos(x:-0.5616812|y:1.23617|z:1.353201)|Rot(x:78.20064|y:93.80682|z:358.7873),Pos(x:-0.5363719|y:1.241476|z:1.350967)|Rot(x:58.89316|y:275.4048|z:180.4799),Pos(x:-0.5134219|y:1.227579|z:1.349022)|Rot(x:58.8931|y:275.4049|z:180.48),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:31.17037|y:90|z:0),Pos(x:-0.5605175|y:1.241576|z:1.328133)|Rot(x:79.76543|y:90|z:0),Pos(x:-0.533239|y:1.246502|z:1.328133)|Rot(x:56.49902|y:270|z:180),Pos(x:-0.5096403|y:1.230881|z:1.328133)|Rot(x:56.49911|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.49093|y:87.07153|z:0.1636131),Pos(x:-0.5668142|y:1.234602|z:1.305087)|Rot(x:63.53812|y:87.30283|z:0.3341445),Pos(x:-0.5432637|y:1.246341|z:1.30635)|Rot(x:74.0493|y:324.7357|z:236.685),Pos(x:-0.5177936|y:1.242447|z:1.307674)|Rot(x:74.04932|y:324.7357|z:236.685),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.49768|y:85.11913|z:356.4924),Pos(x:-0.5662344|y:1.219554|z:1.28255)|Rot(x:63.54438|y:85.50443|z:356.7765),Pos(x:-0.5497691|y:1.227732|z:1.282807)|Rot(x:80.0313|y:238.8401|z:150.3487),Pos(x:-0.5307913|y:1.224843|z:1.283183)|Rot(x:80.03127|y:238.8405|z:150.349),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-26 오전 9:46:15
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:310.6262|y:217.4292|z:21.7805),Pos(x:-0.5502881|y:1.148552|z:1.368226)|Rot(x:317.413|y:222.1532|z:29.8967),Pos(x:-0.5128667|y:1.179847|z:1.373149)|Rot(x:329.3345|y:233.7224|z:46.21755),Pos(x:-0.4925838|y:1.196809|z:1.362512)|Rot(x:329.3344|y:233.7224|z:46.21751),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:27.02748|y:94.86737|z:359.7216),Pos(x:-0.5641832|y:1.237549|z:1.353414)|Rot(x:66.75823|y:94.4165|z:359.3716),Pos(x:-0.5404277|y:1.247791|z:1.351294)|Rot(x:77.47961|y:276.1105|z:181.1438),Pos(x:-0.5142647|y:1.241961|z:1.349033)|Rot(x:77.47961|y:276.1108|z:181.1442),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:26.33582|y:90|z:0),Pos(x:-0.5644226|y:1.243719|z:1.328133)|Rot(x:65.39291|y:90|z:0),Pos(x:-0.5392204|y:1.255261|z:1.328133)|Rot(x:79.45573|y:270|z:180),Pos(x:-0.5113983|y:1.250082|z:1.328133)|Rot(x:79.4558|y:269.9998|z:179.9998),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.49093|y:87.07153|z:0.1636131),Pos(x:-0.5668142|y:1.234602|z:1.305087)|Rot(x:63.53812|y:87.30283|z:0.3341445),Pos(x:-0.5432637|y:1.246341|z:1.30635)|Rot(x:74.0493|y:324.7357|z:236.685),Pos(x:-0.5177936|y:1.242447|z:1.307674)|Rot(x:74.04932|y:324.7357|z:236.685),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.49768|y:85.11913|z:356.4924),Pos(x:-0.5662344|y:1.219554|z:1.28255)|Rot(x:63.54438|y:85.50443|z:356.7765),Pos(x:-0.5497691|y:1.227732|z:1.282807)|Rot(x:80.0313|y:238.8401|z:150.3487),Pos(x:-0.5307913|y:1.224843|z:1.283183)|Rot(x:80.03127|y:238.8405|z:150.349),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-26 오전 9:46:16
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:320.1349|y:227.6511|z:7.316343),Pos(x:-0.5576372|y:1.155432|z:1.368226)|Rot(x:327.493|y:229.6673|z:17.64356),Pos(x:-0.528878|y:1.194835|z:1.373149)|Rot(x:340.8811|y:237.407|z:37.52168),Pos(x:-0.51329|y:1.216192|z:1.362512)|Rot(x:340.8811|y:237.407|z:37.52164),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.9264|y:95.00285|z:359.7519),Pos(x:-0.5870728|y:1.242633|z:1.355392)|Rot(x:13.84051|y:94.93277|z:359.7446),Pos(x:-0.5808966|y:1.267835|z:1.354743)|Rot(x:28.16318|y:94.86111|z:359.7188),Pos(x:-0.5682572|y:1.29155|z:1.353536)|Rot(x:28.16324|y:94.86105|z:359.7187),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.668208|y:90|z:0),Pos(x:-0.5844703|y:1.249092|z:1.328133)|Rot(x:14.3595|y:90|z:0),Pos(x:-0.5775957|y:1.275945|z:1.328133)|Rot(x:23.98167|y:90|z:0),Pos(x:-0.5660933|y:1.301802|z:1.328133)|Rot(x:23.98163|y:90.00006|z:1.868876E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:3.427625|y:87.01262|z:0.1491663),Pos(x:-0.5833015|y:1.238706|z:1.304235)|Rot(x:13.67217|y:87.03992|z:0.1532343),Pos(x:-0.5770866|y:1.264304|z:1.304627)|Rot(x:22.25497|y:72.36589|z:354.4919),Pos(x:-0.5670673|y:1.288072|z:1.305213)|Rot(x:22.25496|y:72.36589|z:354.4919),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:3.43452|y:85.02101|z:356.4683),Pos(x:-0.5801498|y:1.223027|z:1.281349)|Rot(x:13.679|y:85.06649|z:356.4751),Pos(x:-0.5757289|y:1.240858|z:1.280596)|Rot(x:23.08941|y:89.60596|z:358.2458),Pos(x:-0.5681989|y:1.258512|z:1.28006)|Rot(x:23.08944|y:89.60593|z:358.2458),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-26 오전 9:46:17
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.117|y:232.4933|z:357.6045),Pos(x:-0.5627546|y:1.157548|z:1.370665)|Rot(x:332.8249|y:233.2238|z:10.58251),Pos(x:-0.5397327|y:1.200425|z:1.376631)|Rot(x:350.5822|y:241.6548|z:38.19805),Pos(x:-0.5281396|y:1.22252|z:1.36286)|Rot(x:350.5821|y:241.6548|z:38.19802),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.774|y:95.0035|z:359.7519),Pos(x:-0.5871968|y:1.242628|z:1.355403)|Rot(x:11.72741|y:94.94238|z:359.7468),Pos(x:-0.5819505|y:1.268042|z:1.354834)|Rot(x:24.2854|y:94.882|z:359.728),Pos(x:-0.5709382|y:1.292561|z:1.353765)|Rot(x:24.28545|y:94.88191|z:359.7279),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:5.188116|y:90|z:0),Pos(x:-0.5830737|y:1.248983|z:1.328133)|Rot(x:18.47645|y:90|z:0),Pos(x:-0.574289|y:1.275274|z:1.328133)|Rot(x:30.43596|y:90|z:0),Pos(x:-0.5599529|y:1.299674|z:1.328133)|Rot(x:30.43591|y:90.00006|z:2.772646E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.103602|y:87.01438|z:0.1492782),Pos(x:-0.5827544|y:1.23867|z:1.304263)|Rot(x:15.40226|y:87.04472|z:0.1544426),Pos(x:-0.5757705|y:1.264068|z:1.304695)|Rot(x:24.84511|y:72.07487|z:353.7463),Pos(x:-0.5646528|y:1.287341|z:1.305338)|Rot(x:24.84511|y:72.07488|z:353.7463),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.110498|y:85.02395|z:356.4685),Pos(x:-0.579688|y:1.222997|z:1.281389)|Rot(x:15.40908|y:85.07449|z:356.4771),Pos(x:-0.5747329|y:1.240689|z:1.280682)|Rot(x:25.75934|y:89.7163|z:358.4846),Pos(x:-0.5663892|y:1.257975|z:1.280216)|Rot(x:25.75937|y:89.71626|z:358.4845),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-26 오전 9:46:18
heymin,1,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:325.9584|y:231.3918|z:1.105896),Pos(x:-0.5623027|y:1.158381|z:1.368226)|Rot(x:333.4437|y:232.396|z:12.11827),Pos(x:-0.5390427|y:1.201261|z:1.373149)|Rot(x:347.3681|y:238.5617|z:33.309),Pos(x:-0.5264354|y:1.224503|z:1.362512)|Rot(x:347.3681|y:238.5617|z:33.30899),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:358.6881|y:94.99953|z:359.752),Pos(x:-0.5864528|y:1.242651|z:1.355338)|Rot(x:13.41662|y:94.93472|z:359.7451),Pos(x:-0.5804626|y:1.267898|z:1.354705)|Rot(x:26.67228|y:94.86932|z:359.7225),Pos(x:-0.5684423|y:1.291936|z:1.35355)|Rot(x:26.67233|y:94.86924|z:359.7225),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:6.14838|y:90|z:0),Pos(x:-0.5821931|y:1.248896|z:1.328133)|Rot(x:21.14008|y:90|z:0),Pos(x:-0.5721961|y:1.27475|z:1.328133)|Rot(x:34.6326|y:90|z:0),Pos(x:-0.5561128|y:1.298036|z:1.328133)|Rot(x:34.63255|y:90.00008|z:3.942983E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.660229|y:87.01585|z:0.1493881),Pos(x:-0.5823042|y:1.238636|z:1.304287)|Rot(x:16.90344|y:87.04894|z:0.1556138),Pos(x:-0.5746583|y:1.263842|z:1.304753)|Rot(x:27.11549|y:71.78296|z:353.0661),Pos(x:-0.5625963|y:1.286638|z:1.305443)|Rot(x:27.11549|y:71.78294|z:353.0661),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.667113|y:85.02638|z:356.4687),Pos(x:-0.5793081|y:1.222968|z:1.281422)|Rot(x:16.91024|y:85.08152|z:356.4791),Pos(x:-0.573893|y:1.240525|z:1.280755)|Rot(x:28.10246|y:89.82573|z:358.7036),Pos(x:-0.5648499|y:1.257457|z:1.280348)|Rot(x:28.1025|y:89.82568|z:358.7036),Yes,1,StressBall (UnityEngine.GameObject),1,2024-08-26 오전 9:46:19
heymin,1,1,1,1,1,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:303.1766|y:245.3988|z:11.21567),Pos(x:-0.5457022|y:1.145572|z:1.360795)|Rot(x:308.9453|y:247.9731|z:18.23805),Pos(x:-0.5063734|y:1.174843|z:1.360153)|Rot(x:321.0176|y:256.1326|z:32.9937),Pos(x:-0.4880546|y:1.193425|z:1.34869)|Rot(x:321.0176|y:256.1326|z:32.99366),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:45.56999|y:94.74092|z:359.6458),Pos(x:-0.5520647|y:1.228616|z:1.352394)|Rot(x:76.02895|y:93.99715|z:358.9729),Pos(x:-0.5269743|y:1.234882|z:1.350174)|Rot(x:76.5522|y:276.0309|z:181.0662),Pos(x:-0.5009086|y:1.228627|z:1.347924)|Rot(x:76.55213|y:276.0311|z:181.0665),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:44.72446|y:90|z:0),Pos(x:-0.5506898|y:1.233913|z:1.328133)|Rot(x:74.1898|y:90|z:0),Pos(x:-0.5240188|y:1.241465|z:1.328133)|Rot(x:79.29145|y:270|z:180),Pos(x:-0.4962116|y:1.236206|z:1.328133)|Rot(x:79.29145|y:269.9998|z:179.9998),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.49093|y:87.07153|z:0.1636131),Pos(x:-0.5668142|y:1.234602|z:1.305087)|Rot(x:63.53812|y:87.30283|z:0.3341445),Pos(x:-0.5432637|y:1.246341|z:1.30635)|Rot(x:74.0493|y:324.7357|z:236.685),Pos(x:-0.5177936|y:1.242447|z:1.307674)|Rot(x:74.04932|y:324.7357|z:236.685),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.49768|y:85.11913|z:356.4924),Pos(x:-0.5662344|y:1.219554|z:1.28255)|Rot(x:63.54438|y:85.50443|z:356.7765),Pos(x:-0.5497691|y:1.227732|z:1.282807)|Rot(x:80.0313|y:238.8401|z:150.3487),Pos(x:-0.5307913|y:1.224843|z:1.283183)|Rot(x:80.03127|y:238.8405|z:150.349),Yes,1,StressBall (UnityEngine.GameObject),1,2024-08-26 오전 9:46:20
heymin,1,0,1,1,1,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:308.9821|y:214.7213|z:25.30455),Pos(x:-0.549033|y:1.146975|z:1.368226)|Rot(x:315.5757|y:220.1581|z:32.79405),Pos(x:-0.5101321|y:1.17641|z:1.373149)|Rot(x:327.0992|y:232.6863|z:48.18409),Pos(x:-0.4890473|y:1.192365|z:1.362512)|Rot(x:327.0992|y:232.6863|z:48.18405),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:16.70204|y:94.91945|z:359.7411),Pos(x:-0.5719764|y:1.240688|z:1.354081)|Rot(x:59.33695|y:94.57565|z:359.5138),Pos(x:-0.5497391|y:1.253924|z:1.352081)|Rot(x:82.28609|y:276.8247|z:181.8476),Pos(x:-0.523182|y:1.250316|z:1.349776)|Rot(x:82.28602|y:276.8253|z:181.8481),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:20.3558|y:90|z:0),Pos(x:-0.5694805|y:1.245902|z:1.328133)|Rot(x:66.05838|y:90|z:0),Pos(x:-0.5441459|y:1.257151|z:1.328133)|Rot(x:72.80923|y:270|z:180),Pos(x:-0.5171101|y:1.248787|z:1.328133)|Rot(x:72.8093|y:269.9998|z:179.9998),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.49093|y:87.07153|z:0.1636131),Pos(x:-0.5668142|y:1.234602|z:1.305087)|Rot(x:63.53812|y:87.30283|z:0.3341445),Pos(x:-0.5432637|y:1.246341|z:1.30635)|Rot(x:74.0493|y:324.7357|z:236.685),Pos(x:-0.5177936|y:1.242447|z:1.307674)|Rot(x:74.04932|y:324.7357|z:236.685),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.49768|y:85.11913|z:356.4924),Pos(x:-0.5662344|y:1.219554|z:1.28255)|Rot(x:63.54438|y:85.50443|z:356.7765),Pos(x:-0.5497691|y:1.227732|z:1.282807)|Rot(x:80.0313|y:238.8401|z:150.3487),Pos(x:-0.5307913|y:1.224843|z:1.283183)|Rot(x:80.03127|y:238.8405|z:150.349),Yes,1,StressBall (UnityEngine.GameObject),1,2024-08-26 오전 9:46:21
heymin,1,1,1,1,1,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:304.3396|y:244.4473|z:10.05681),Pos(x:-0.5465202|y:1.146392|z:1.362034)|Rot(x:310.4008|y:246.9068|z:17.63175),Pos(x:-0.5079626|y:1.176677|z:1.36233)|Rot(x:323.0383|y:255.1724|z:33.45938),Pos(x:-0.4901209|y:1.195675|z:1.350798)|Rot(x:323.0383|y:255.1725|z:33.45935),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:36.69636|y:94.80907|z:359.6908),Pos(x:-0.557503|y:1.233382|z:1.352848)|Rot(x:59.31328|y:94.57602|z:359.5141),Pos(x:-0.5352712|y:1.246628|z:1.350848)|Rot(x:79.66694|y:93.63378|z:358.6175),Pos(x:-0.5089094|y:1.251452|z:1.348524)|Rot(x:79.66697|y:93.63348|z:358.6172),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:40.18995|y:90|z:0),Pos(x:-0.5537722|y:1.236733|z:1.328133)|Rot(x:69.51151|y:90|z:0),Pos(x:-0.5278061|y:1.246435|z:1.328133)|Rot(x:84.09911|y:270|z:180),Pos(x:-0.4996561|y:1.243526|z:1.328133)|Rot(x:84.09914|y:269.9996|z:179.9996),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:36.76637|y:87.11494|z:0.1858735),Pos(x:-0.5582622|y:1.229532|z:1.305522)|Rot(x:64.00497|y:87.30903|z:0.339705),Pos(x:-0.534617|y:1.241079|z:1.306789)|Rot(x:76.48547|y:3.169544|z:276.344),Pos(x:-0.5088609|y:1.241745|z:1.308139)|Rot(x:76.48547|y:3.169609|z:276.3441),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:36.77304|y:85.19145|z:356.5294),Pos(x:-0.5590161|y:1.215263|z:1.283162)|Rot(x:64.01118|y:85.5148|z:356.7858),Pos(x:-0.5424851|y:1.223308|z:1.283425)|Rot(x:85.458|y:159.7225|z:70.88571),Pos(x:-0.5232959|y:1.223805|z:1.283833)|Rot(x:85.45818|y:159.7228|z:70.88596),Yes,1,StressBall (UnityEngine.GameObject),1,2024-08-26 오전 9:46:22
