name,perception,maxforce,result,rendering,timestamp
eunchae_E,4,0.6,1.0,0.04,2024-08-27 17:02:16
eunchae_E,5,1.0,0.1,0.04,2024-08-27 17:02:32
eunchae_E,4,0.6,0.6,0.04,2024-08-27 17:02:48
eunchae_E,1,0.0,0.0,0.04,2024-08-27 17:02:56
eunchae_E,4,0.6,1.0,0.04,2024-08-27 17:03:16
eunchae_E,3,0.3,0.3,0.04,2024-08-27 17:03:23
eunchae_E,2,0.1,1.0,0.04,2024-08-27 17:03:30
eunchae_E,2,0.1,0.6,0.04,2024-08-27 17:03:40
eunchae_E,3,0.3,0.3,0.04,2024-08-27 17:03:47
eunchae_E,4,0.6,1.0,0.04,2024-08-27 17:04:14
eunchae_E,3,0.3,0.6,0.04,2024-08-27 17:04:29
eunchae_E,3,0.3,0.3,0.04,2024-08-27 17:04:44
eunchae_E,1,0.0,0.0,0.04,2024-08-27 17:04:55
eunchae_E,3,0.3,0.6,0.04,2024-08-27 17:05:08
eunchae_E,2,0.1,0.3,0.04,2024-08-27 17:05:16
eunchae_E,3,0.3,1.0,0.04,2024-08-27 17:05:27
eunchae_E,1,0.0,0.0,0.04,2024-08-27 17:05:34
eunchae_E,3,0.3,1.0,0.04,2024-08-27 17:05:40
eunchae_E,2,0.1,0.6,0.04,2024-08-27 17:05:46
eunchae_E,2,0.1,0.1,0.04,2024-08-27 17:05:54
eunchae_E,2,0.1,0.3,0.04,2024-08-27 17:06:02
eunchae_E,3,0.3,0.3,0.04,2024-08-27 17:06:09
eunchae_E,1,0.0,0.0,0.04,2024-08-27 17:06:13
eunchae_E,4,0.6,0.6,0.04,2024-08-27 17:06:25
eunchae_E,2,0.1,0.1,0.04,2024-08-27 17:06:31
eunchae_E,3,0.3,0.1,0.04,2024-08-27 17:06:39
eunchae_E,4,0.6,1.0,0.04,2024-08-27 17:06:44
eunchae_E,4,0.6,0.6,0.04,2024-08-27 17:06:52
eunchae_E,4,0.6,0.6,0.04,2024-08-27 17:07:02
eunchae_E,4,0.6,0.1,0.04,2024-08-27 17:07:16
eunchae_E,5,1.0,1.0,0.04,2024-08-27 17:07:22
eunchae_E,1,0.0,0.0,0.04,2024-08-27 17:07:29
eunchae_E,5,1.0,1.0,0.04,2024-08-27 17:07:35
eunchae_E,1,0.0,0.0,0.04,2024-08-27 17:07:46
eunchae_E,1,0.0,0.0,0.04,2024-08-27 17:07:52
eunchae_E,4,0.6,0.3,0.04,2024-08-27 17:08:01
eunchae_E,3,0.3,0.1,0.04,2024-08-27 17:08:06
eunchae_E,5,1.0,0.6,0.04,2024-08-27 17:08:10
eunchae_E,2,0.1,0.1,0.04,2024-08-27 17:08:15
eunchae_E,2,0.1,0.1,0.04,2024-08-27 17:08:21
eunchae_E,2,0.1,0.1,0.04,2024-08-27 17:08:27
eunchae_E,3,0.3,0.1,0.04,2024-08-27 17:08:35
eunchae_E,5,1.0,0.3,0.04,2024-08-27 17:08:39
eunchae_E,5,1.0,1.0,0.04,2024-08-27 17:08:43
eunchae_E,5,1.0,0.3,0.04,2024-08-27 17:08:46
eunchae_E,3,0.3,0.3,0.04,2024-08-27 17:08:51
eunchae_E,1,0.0,0.0,0.04,2024-08-27 17:08:55
eunchae_E,1,0.0,0.0,0.04,2024-08-27 17:08:59
eunchae_E,4,0.6,0.6,0.04,2024-08-27 17:09:04
eunchae_E,1,0.0,0.0,0.04,2024-08-27 17:09:14
